2025-09-16 11:04:15 | INFO     | main | export_to_gcs:58 | Exported 168000 documents
2025-09-16 11:04:15 | INFO     | main | export_to_gcs:58 | Exported 169000 documents
2025-09-16 11:04:15 | INFO     | main | export_to_gcs:58 | Exported 170000 documents
2025-09-16 11:04:15 | INFO     | main | export_to_gcs:58 | Exported 171000 documents
2025-09-16 11:04:15 | INFO     | main | export_to_gcs:58 | Exported 172000 documents
2025-09-16 11:04:15 | INFO     | main | export_to_gcs:58 | Exported 173000 documents
2025-09-16 11:04:15 | INFO     | main | export_to_gcs:58 | Exported 174000 documents
2025-09-16 11:04:15 | INFO     | main | export_to_gcs:58 | Exported 175000 documents
2025-09-16 11:04:15 | INFO     | main | export_to_gcs:58 | Exported 176000 documents
2025-09-16 11:04:15 | INFO     | main | export_to_gcs:58 | Exported 177000 documents
2025-09-16 11:04:15 | INFO     | main | export_to_gcs:58 | Exported 178000 documents
2025-09-16 11:04:15 | INFO     | main | export_to_gcs:58 | Exported 179000 documents
2025-09-16 11:04:15 | INFO     | main | export_to_gcs:58 | Exported 180000 documents
2025-09-16 11:04:15 | INFO     | main | export_to_gcs:58 | Exported 181000 documents
2025-09-16 11:04:15 | INFO     | main | export_to_gcs:58 | Exported 182000 documents
2025-09-16 11:04:15 | INFO     | main | export_to_gcs:58 | Exported 183000 documents
2025-09-16 11:04:15 | INFO     | main | export_to_gcs:58 | Exported 184000 documents
2025-09-16 11:04:15 | INFO     | main | export_to_gcs:58 | Exported 185000 documents
2025-09-16 11:04:15 | INFO     | main | export_to_gcs:58 | Exported 186000 documents
2025-09-16 11:04:15 | INFO     | main | export_to_gcs:58 | Exported 187000 documents
2025-09-16 11:04:15 | INFO     | main | export_to_gcs:58 | Exported 188000 documents
2025-09-16 11:04:16 | INFO     | main | export_to_gcs:58 | Exported 189000 documents
2025-09-16 11:04:16 | INFO     | main | export_to_gcs:58 | Exported 190000 documents
2025-09-16 11:04:16 | INFO     | main | export_to_gcs:58 | Exported 191000 documents
2025-09-16 11:04:16 | INFO     | main | export_to_gcs:58 | Exported 192000 documents
2025-09-16 11:04:16 | INFO     | main | export_to_gcs:58 | Exported 193000 documents
2025-09-16 11:04:16 | INFO     | main | export_to_gcs:58 | Exported 194000 documents
2025-09-16 11:04:16 | INFO     | main | export_to_gcs:58 | Exported 195000 documents
2025-09-16 11:04:16 | INFO     | main | export_to_gcs:58 | Exported 196000 documents
2025-09-16 11:04:16 | INFO     | main | export_to_gcs:58 | Exported 197000 documents
2025-09-16 11:04:16 | INFO     | main | export_to_gcs:58 | Exported 198000 documents
2025-09-16 11:04:16 | INFO     | main | export_to_gcs:58 | Exported 199000 documents
2025-09-16 11:04:16 | INFO     | main | export_to_gcs:58 | Exported 200000 documents
2025-09-16 11:04:16 | INFO     | main | export_to_gcs:58 | Exported 201000 documents
2025-09-16 11:04:16 | INFO     | main | export_to_gcs:58 | Exported 202000 documents
2025-09-16 11:04:16 | INFO     | main | export_to_gcs:58 | Exported 203000 documents
2025-09-16 11:04:16 | INFO     | main | export_to_gcs:58 | Exported 204000 documents
2025-09-16 11:04:16 | INFO     | main | export_to_gcs:58 | Exported 205000 documents
2025-09-16 11:04:16 | INFO     | main | export_to_gcs:58 | Exported 206000 documents
2025-09-16 11:04:16 | INFO     | main | export_to_gcs:58 | Exported 207000 documents
2025-09-16 11:04:16 | INFO     | main | export_to_gcs:58 | Exported 208000 documents
2025-09-16 11:04:16 | INFO     | main | export_to_gcs:58 | Exported 209000 documents
2025-09-16 11:04:16 | INFO     | main | export_to_gcs:58 | Exported 210000 documents
2025-09-16 11:04:16 | INFO     | main | export_to_gcs:58 | Exported 211000 documents
2025-09-16 11:04:16 | INFO     | main | export_to_gcs:58 | Exported 212000 documents
2025-09-16 11:04:16 | INFO     | main | export_to_gcs:58 | Exported 213000 documents
2025-09-16 11:04:16 | INFO     | main | export_to_gcs:58 | Exported 214000 documents
2025-09-16 11:04:16 | INFO     | main | export_to_gcs:58 | Exported 215000 documents
2025-09-16 11:04:16 | INFO     | main | export_to_gcs:58 | Exported 216000 documents
2025-09-16 11:04:16 | INFO     | main | export_to_gcs:58 | Exported 217000 documents
2025-09-16 11:04:16 | INFO     | main | export_to_gcs:58 | Exported 218000 documents
2025-09-16 11:04:16 | INFO     | main | export_to_gcs:58 | Exported 219000 documents
2025-09-16 11:04:16 | INFO     | main | export_to_gcs:58 | Exported 220000 documents
2025-09-16 11:04:16 | INFO     | main | export_to_gcs:58 | Exported 221000 documents
2025-09-16 11:04:16 | INFO     | main | export_to_gcs:58 | Exported 222000 documents
2025-09-16 11:04:16 | INFO     | main | export_to_gcs:58 | Exported 223000 documents
2025-09-16 11:04:16 | INFO     | main | export_to_gcs:58 | Exported 224000 documents
2025-09-16 11:04:16 | INFO     | main | export_to_gcs:58 | Exported 225000 documents
2025-09-16 11:04:17 | INFO     | main | export_to_gcs:58 | Exported 226000 documents
2025-09-16 11:04:17 | INFO     | main | export_to_gcs:58 | Exported 227000 documents
2025-09-16 11:04:17 | INFO     | main | export_to_gcs:58 | Exported 228000 documents
2025-09-16 11:04:17 | INFO     | main | export_to_gcs:58 | Exported 229000 documents
2025-09-16 11:04:17 | INFO     | main | export_to_gcs:58 | Exported 230000 documents
2025-09-16 11:04:17 | INFO     | main | export_to_gcs:58 | Exported 231000 documents
2025-09-16 11:04:17 | INFO     | main | export_to_gcs:58 | Exported 232000 documents
2025-09-16 11:04:17 | INFO     | main | export_to_gcs:58 | Exported 233000 documents
2025-09-16 11:04:17 | INFO     | main | export_to_gcs:58 | Exported 234000 documents
2025-09-16 11:04:17 | INFO     | main | export_to_gcs:58 | Exported 235000 documents
2025-09-16 11:04:17 | INFO     | main | export_to_gcs:58 | Exported 236000 documents
2025-09-16 11:04:17 | INFO     | main | export_to_gcs:58 | Exported 237000 documents
2025-09-16 11:04:17 | INFO     | main | export_to_gcs:58 | Exported 238000 documents
2025-09-16 11:04:17 | INFO     | main | export_to_gcs:58 | Exported 239000 documents
2025-09-16 11:04:17 | INFO     | main | export_to_gcs:58 | Exported 240000 documents
2025-09-16 11:04:17 | INFO     | main | export_to_gcs:58 | Exported 241000 documents
2025-09-16 11:04:17 | INFO     | main | export_to_gcs:58 | Exported 242000 documents
2025-09-16 11:04:17 | INFO     | main | export_to_gcs:58 | Exported 243000 documents
2025-09-16 11:04:17 | INFO     | main | export_to_gcs:58 | Exported 244000 documents
2025-09-16 11:04:17 | INFO     | main | export_to_gcs:58 | Exported 245000 documents
2025-09-16 11:04:17 | INFO     | main | export_to_gcs:58 | Exported 246000 documents
2025-09-16 11:04:17 | INFO     | main | export_to_gcs:58 | Exported 247000 documents
2025-09-16 11:04:17 | INFO     | main | export_to_gcs:58 | Exported 248000 documents
2025-09-16 11:04:18 | INFO     | main | export_to_gcs:58 | Exported 249000 documents
2025-09-16 11:04:18 | INFO     | main | export_to_gcs:58 | Exported 250000 documents
2025-09-16 11:04:18 | INFO     | main | export_to_gcs:58 | Exported 251000 documents
2025-09-16 11:04:18 | INFO     | main | export_to_gcs:58 | Exported 252000 documents
2025-09-16 11:04:18 | INFO     | main | export_to_gcs:58 | Exported 253000 documents
2025-09-16 11:04:18 | INFO     | main | export_to_gcs:58 | Exported 254000 documents
2025-09-16 11:04:18 | INFO     | main | export_to_gcs:58 | Exported 255000 documents
2025-09-16 11:04:18 | INFO     | main | export_to_gcs:58 | Exported 256000 documents
2025-09-16 11:04:18 | INFO     | main | export_to_gcs:58 | Exported 257000 documents
2025-09-16 11:04:18 | INFO     | main | export_to_gcs:58 | Exported 258000 documents
2025-09-16 11:04:18 | INFO     | main | export_to_gcs:58 | Exported 259000 documents
2025-09-16 11:04:18 | INFO     | main | export_to_gcs:58 | Exported 260000 documents
2025-09-16 11:04:18 | INFO     | main | export_to_gcs:58 | Exported 261000 documents
2025-09-16 11:04:18 | INFO     | main | export_to_gcs:58 | Exported 262000 documents
2025-09-16 11:04:18 | INFO     | main | export_to_gcs:58 | Exported 263000 documents
2025-09-16 11:04:18 | INFO     | main | export_to_gcs:58 | Exported 264000 documents
2025-09-16 11:04:18 | INFO     | main | export_to_gcs:58 | Exported 265000 documents
2025-09-16 11:04:18 | INFO     | main | export_to_gcs:58 | Exported 266000 documents
2025-09-16 11:04:18 | INFO     | main | export_to_gcs:58 | Exported 267000 documents
2025-09-16 11:04:18 | INFO     | main | export_to_gcs:58 | Exported 268000 documents
2025-09-16 11:04:18 | INFO     | main | export_to_gcs:58 | Exported 269000 documents
2025-09-16 11:04:18 | INFO     | main | export_to_gcs:58 | Exported 270000 documents
2025-09-16 11:04:18 | INFO     | main | export_to_gcs:58 | Exported 271000 documents
2025-09-16 11:04:18 | INFO     | main | export_to_gcs:58 | Exported 272000 documents
2025-09-16 11:04:18 | INFO     | main | export_to_gcs:58 | Exported 273000 documents
2025-09-16 11:04:18 | INFO     | main | export_to_gcs:58 | Exported 274000 documents
2025-09-16 11:04:18 | INFO     | main | export_to_gcs:58 | Exported 275000 documents
2025-09-16 11:04:18 | INFO     | main | export_to_gcs:58 | Exported 276000 documents
2025-09-16 11:04:18 | INFO     | main | export_to_gcs:58 | Exported 277000 documents
2025-09-16 11:04:18 | INFO     | main | export_to_gcs:58 | Exported 278000 documents
2025-09-16 11:04:18 | INFO     | main | export_to_gcs:58 | Exported 279000 documents
2025-09-16 11:04:18 | INFO     | main | export_to_gcs:58 | Exported 280000 documents
2025-09-16 11:04:18 | INFO     | main | export_to_gcs:58 | Exported 281000 documents
2025-09-16 11:04:19 | INFO     | main | export_to_gcs:58 | Exported 282000 documents
2025-09-16 11:04:19 | INFO     | main | export_to_gcs:58 | Exported 283000 documents
2025-09-16 11:04:19 | INFO     | main | export_to_gcs:58 | Exported 284000 documents
2025-09-16 11:04:19 | INFO     | main | export_to_gcs:58 | Exported 285000 documents
2025-09-16 11:04:19 | INFO     | main | export_to_gcs:58 | Exported 286000 documents
2025-09-16 11:04:19 | INFO     | main | export_to_gcs:58 | Exported 287000 documents
2025-09-16 11:04:19 | INFO     | main | export_to_gcs:58 | Exported 288000 documents
2025-09-16 11:04:19 | INFO     | main | export_to_gcs:58 | Exported 289000 documents
